,Date,GLD,SPY,TIP,VNQ
68,2019-04-09,123.1500015258789,287.30999755859375,112.62000274658203,86.88999938964844
69,2019-04-10,123.52999877929688,288.2900085449219,113.02999877929688,87.69000244140625
70,2019-04-11,121.94999694824219,288.2099914550781,112.7699966430664,87.62999725341797
71,2019-04-12,121.83000183105469,290.1600036621094,112.55999755859375,88.05000305175781
72,2019-04-15,121.5999984741211,289.9700012207031,112.62000274658203,87.5999984741211
73,2019-04-16,120.51000213623047,290.1600036621094,112.36000061035156,85.62000274658203
74,2019-04-17,120.27999877929688,289.45001220703125,112.33999633789062,84.83999633789062
75,2019-04-18,120.37000274658203,290.0199890136719,112.66000366210938,85.48999786376953
76,2019-04-22,120.37000274658203,290.2699890136719,112.55000305175781,84.55000305175781
77,2019-04-23,120.12000274658203,292.8800048828125,112.80999755859375,85.66999816894531
